# Product: e-CALLISTO_2023_04.txt
# Prepared by PI e-Callisto
# Please send comments and suggestions to christian.monstein(at)irsol.usi.ch
#
# Missing data: ##:##-##:##
#
#Date	Time	Type	Stations
#-------------------------------------------------------------------------------
20230401	02:59-03:04	III	Australia-ASSA, (INDIA-OOTY), SSRT
20230401	03:19-03:56	V?	ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT
20230401	07:01-07:02	III	Australia-ASSA, EGYPT-Alexandria, GERMANY-DLR, HUMAIN, (INDIA-GAURI), INDIA-OOTY, SSRT, SWISS-Landschlacht
20230401	14:30-14:31	III	AUSTRIA-UNIGRAZ, Arecibo-Observatory, (EGYPT-Alexandria), GERMANY-DLR, GLASGOW, HUMAIN, MEXICO-LANCE, SWISS-Landschlacht
20230402	01:22-01:24	III	ALASKA-HAARP, Australia-ASSA
20230402	02:18-02:18	III	Australia-ASSA
20230402	14:12-14:15	III	AUSTRIA-UNIGRAZ, Arecibo-Observatory, (EGYPT-Alexandria), GERMANY-DLR, GLASGOW, HUMAIN, MEXICO-LANCE, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht
20230402	18:29-18:29	III	ALASKA-COHOE, ALASKA-HAARP, Arecibo-Observatory, (MEXART), MEXICO-LANCE, ROSWELL-NM, USA-ARIZONA-ERAU
20230402	20:22-20:23	III	(ALASKA-COHOE), (ALASKA-HAARP), MEXICO-LANCE, (ROSWELL-NM)
20230403	02:35-02:35	III	Australia-ASSA, SSRT
20230403	02:50-03:04	VI	(ALASKA-COHOE), (ALASKA-HAARP), Australia-ASSA, (INDIA-GAURI), (INDIA-OOTY), (MONGOLIA-UB), SSRT
20230404	01:15-01:20	III	Australia-ASSA
20230404	02:25-02:28	III	ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-OOTY, MONGOLIA-UB, SSRT
20230404	02:31-02:34	III	Australia-ASSA
20230404	02:51-02:51	III	Australia-ASSA
20230404	03:17-03:18	III	ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-GAURI, MONGOLIA-UB, SSRT
20230404	04:15-04:17	III	Australia-ASSA, INDIA-OOTY, SSRT 
20230404	04:40-05:05	VI	Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, SSRT
20230404	05:47-05:48	III	Australia-ASSA, INDIA-OOTY, SSRT
20230404	07:41-07:42	III	GERMANY-DLR, INDIA-OOTY, NORWAY-EGERSUND, SWISS-Landschlacht
20230404	09:16-09:17	III	AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN
20230404	11:37-11:37	RBR	GERMANY-DLR, GLASGOW
20230404	15:28-15:29	III	Arecibo-Observatory, GERMANY-DLR, GLASGOW, HUMAIN, MEXICO-LANCE, (SWISS-HEITERSWIL), SWISS-Landschlacht
20230404	16:02-16:02	III	Arecibo-Observatory, GLASGOW, MEXICO-LANCE, SWISS-Landschlacht
20230404	16:14-16:14	III	Arecibo-Observatory, GLASGOW, MEXICO-LANCE
20230405	09:57-09:57	III	GERMANY-DLR
20230405	10:34-10:34	III	GERMANY-DLR
20230405	15:51-15:51	III	Arecibo-Observatory, GERMANY-DLR, GLASGOW, MEXICO-LANCE
20230406	08:51-08:52	III	GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, (SWISS-MUHEN)
20230406	16:30-23:59	CTM	ALASKA-HAARP, Arecibo-Observatory, MEXICO-LANCE
20230406	16:43-16:45	III	Arecibo-Observatory, MEXICO-LANCE, ROSWELL-NM, (SWISS-HEITERSWIL), SWISS-Landschlacht, USA-ARIZONA-ERAU
20230406	18:45-18:47	III	ALASKA-COHOE, ALASKA-HAARP
20230406	19:03-19:05	III	ALASKA-COHOE, ALASKA-HAARP
20230406	19:57-19:57	RBR	ALASKA-COHOE
20230406	20:35-20:38	III	ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE
20230407	02:41-02:44	III	Australia-ASSA
20230407	03:07-03:07	RBR	Australia-ASSA, INDIA-OOTY, SSRT
20230407	12:31-12:32	III	(Arecibo-Observatory), (GERMANY-DLR), GLASGOW
